,label,processed_study,processed_condition
3087,0,methotrex methotrexate,child immunoblast larg cel lymphom diagnos absolv neutrophil count greater_than on zero mm three childhood immunoblastic large cell lymphoma diagnosis absolute neutrophil count greater_than one zero mm three
3088,1,vorinost vorinostat,stag ii grad three follicul lymphom diagnos paty evid hum immunodeficy vir hiv seroposit posit polymeras chain react pcr assay hum lymphotrop vir htlv on htlvtwo_seropositivity saf allog hsct yet wel est pop stage iii grade three follicular lymphoma diagnosis patients evidence human immunodeficiency virus hiv seropositivity positive polymerase chain reaction pcr assay human lymphotropic virus htlv one htlvtwo_seropositivity safety allogeneic hsct yet well establish population
3089,1,antilymphocyt ser antilymphocyte serum,recur adult grad ii lymphomatoid granulomatos diagnos smal bowel volum fortysix gy recurrent adult grade iii lymphomatoid granulomatosis diagnosis small bowel volume fortysix gy
3090,1,albuminbound paclitaxel albuminbound paclitaxel,inflam breast cant diagnos known suspect congest heart fail greater_than nyh coron heart diseas angin pect requir antiangin med prevy hist myocard infarct evid transm infarct ecg uncontrol poor control art hypertend bp greater_than on hundr sixty nin mm hg tre two antihypertend drug rhythm abnorm requir perm tre clin sign valvul heart diseas inflammatory breast cancer diagnosis know suspect congestive heart failure greater_than nyha coronary heart disease angina pectoris require antianginal medication previous history myocardial infarction evidence transmural infarction ecg uncontrolled poorly control arterial hypertension bp greater_than one hundred sixty ninety mm hg treatment two antihypertensive drug rhythm abnormalities require permanent treatment clinically significant valvular heart disease
3091,0,carboplatin carboplatin,head neck cant diagnos paty must norm cardiac funct lvef assess mug echo clin satisfact twelv lead ecg head neck cancer diagnosis patients must normal cardiac function lvef assess muga echo clinically satisfactory twelve lead ecg
3092,1,bb one thousand one hundred and on bb one thousand one hundred and one,multipl myelom diagnos un tak corticotherapy study entry multiple myeloma diagnosis unable take corticotherapy study entry
3093,0,paclitaxel paclitaxel,recur uterin corp cant diagnos neuropathy sens mot nci ctcae grad equal_than less_than two recurrent uterine corpus cancer diagnosis neuropathy sensory motor nci ctcae grade equal_than less_than two
3094,0,mycophenol acid mycophenolic acid,natural_killer cel lymphoblast leukem lymphom diagnos first relaps less twentyf blast bon marrow natural_killer cell lymphoblastic leukemia lymphoma diagnosis first relapse less twentyfive blast bone marrow
3095,1,cyclophosphamid cyclophosphamide,noncontigu stag ii adult burkit lymphom diagnos cons fiv six six six hla match rel don avail noncontiguous stage ii adult burkitt lymphoma diagnosis consent five six six six hla match relate donor available
3096,1,mycophenol acid mycophenolic acid,recur child anaplast larg cel lymphom diagnos id twin recurrent childhood anaplastic large cell lymphoma diagnosis identical twin
3097,1,trastuzumab trastuzumab,stag ivb vulv cant diagnos brain cent nerv system metastas entry stage ivb vulvar cancer diagnosis brain central nervous system metastasis entry
3098,0,docetaxel docetaxel,thorax respir cant diagnos sirolim thorax respiratory cancer diagnosis sirolimus
3099,0,paty undergo cvat lobectom patients undergo cvats lobectomy,non smal cel lung cant stag diagnos sufficy org funct non small cell lung cancer stage diagnosis sufficient organ function
3100,0,doxorubicin doxorubicin,ov cant diagnos bilirubin gre doc tim norm sgot sgpt ggt gre doc tim norm alkalin phosphatas gre doc tim norm acut hepatit ren ovarian cancer diagnosis bilirubin greater doc time normal sgot sgpt ggt greater doc time normal alkaline phosphatase greater doc time normal acute hepatitis renal
3101,0,fluorodeoxyglucos f18 fluorodeoxyglucose f18,stag iv verruc carcinom or cav diagnos hemoglobin greater_than doc dl bas upon cbc_differential obtain within two week pri reg study stage iv verrucous carcinoma oral cavity diagnosis hemoglobin greater_than doc dl base upon cbc_differential obtain within two weeks prior registration study
3102,0,vincristin vincristine,lymphom diagnos pregn nurs lymphoma diagnosis pregnant nurse
3103,1,three tesl magnet reson im three tesla magnetic resonance image,stag adult prim liv cant bclc diagnos cerebr aneurysm clip biopsy mark clip stage adult primary liver cancer bclc diagnosis cerebral aneurysm clip biopsy marker clip
3104,0,rituximab rituximab,recur grad on follicul lymphom diagnos calc creatinin clear greater_than equal_than fifty ml min us cockcroft gault formul recurrent grade one follicular lymphoma diagnosis calculate creatinine clearance greater_than equal_than fifty ml min use cockcroft gault formula
3105,0,albuminbound paclitaxel albuminbound paclitaxel,child malign ov germ cel tum diagnos doc mg dl two less_than six year ag childhood malignant ovarian germ cell tumor diagnosis doc mg dl two less_than six years age
3106,1,lenalidomid lenalidomide,stag ivb or cav verruc carcinom diagnos paty may receiv investig ag stage ivb oral cavity verrucous carcinoma diagnosis patients may receive investigational agents
3107,0,quinacrin quinacrine,prost cant diagnos ser creatinin less doc mg dl prostatic cancer diagnosis serum creatinine less doc mg dl
3108,0,tacrolim tacrolimus,noncontigu stag ii adult immunoblast larg cel lymphom diagnos low grad nh neg less_than six month dur complet respons cr cours conv therapy noncontiguous stage ii adult immunoblastic large cell lymphoma diagnosis low grade nh negative less_than six months duration complete response cr course conventional therapy
3109,1,carboplatin carboplatin,noncontigu stag ii grad two follicul lymphom diagnos pri us racemic_gossypol on hundr on noncontiguous stage ii grade two follicular lymphoma diagnosis prior use racemic_gossypol one hundred one
3110,1,albuminbound paclitaxel albuminbound paclitaxel,stag ii ov cant diagnos paty maj surg proc anticip cours study includ limit stage iiic ovarian cancer diagnosis patients major surgical procedure anticipate course study include limit
3111,0,fulvest fulvestrant,progesteron receiv posit breast cant diagnos fast ser cholesterol less_than three hundr mg dl less_than doc fiv mmol fast triglycerid less_than doc uln not progesterone receptor positive breast cancer diagnosis fast serum cholesterol less_than three hundred mg dl less_than doc five mmol fast triglycerides less_than doc uln note
3112,1,antibody monoclon antibodies monoclonal,refract diffus larg cel lymphom diagnos paty chemotherapy radiotherapy equal_than less_than twentyon day equal_than less_than six week monoclon antibody pri first admin study tre recov advers ev due ag admin four week ear refractory diffuse large cell lymphoma diagnosis patients chemotherapy radiotherapy equal_than less_than twentyone days equal_than less_than six weeks monoclonal antibodies prior first administration study treatment recover adverse events due agents administer four weeks earlier
3113,1,sirolim sirolimus,adult solid neoplasm diagnos paty receiv investig ag adult solid neoplasm diagnosis patients receive investigational agents
3114,1,trastuzumab trastuzumab,breast neoplasm diagnos evid sev uncontrol system diseas unst uncompens respir hep ren cardiac diseas breast neoplasms diagnosis evidence severe uncontrolled systemic diseases unstable uncompensated respiratory hepatic renal cardiac disease
3115,1,endoscop snar papillectom endoscopic snare papillectomy,tum siz greater_than fourcm tumor size greater_than fourcm
3116,0,vincristin vincristine,brain cent nerv system tum diagnos spec brain central nervous system tumors diagnosis specify
3117,0,px866 px866,glioblastom diagnos target therapy glioblastoma diagnosis target therapy
3118,1,lde225 lde225,gastroesoph junct cant diagnos ist hypersensit ldetwo hundr twentyf bkmone hundr twenty drug simil chem class gastroesophageal junction cancer diagnosis istory hypersensitivity ldetwo hundred twentyfive bkmone hundred twenty drug similar chemical class
3119,0,vidarabin vidarabine,stag iv adult burkit lymphom diagnos prim allog hematopoiet stem cel transpl hsct appropry select paty sev aplast anem howev paty aplast anem must fail least on cyc standard immunosuppress therapy calcineurin inhibit plu ant thymocyte_globulin atg ful match don avail stage iv adult burkitt lymphoma diagnosis primary allogeneic hematopoietic stem cell transplantation hsct appropriate select patients severe aplastic anemia however patients aplastic anemia must fail least one cycle standard immunosuppressive therapy calcineurin inhibitor plus anti thymocyte_globulin atg fully match donor available
3120,0,cyclosporin cyclosporine,lysosomal_storage diseas diagnos metabol disord includ limit cel diseas deem high risk poor outcom standard transpl regim due anticip tox bas expery gain univers minnesot cent lysosomal_storage disease diagnosis metabolic disorder include limit cell disease deem high risk poor outcome standard transplant regimen due anticipate toxicity base experience gain university minnesota center
3121,0,dexamethason acet dexamethasone acetate,multipl myelom diagnos menst cyc irregul pregn test must occ week first twentyeight day every fourteen day study study discontinu day fourteen twentyeight follow study drug discontinu multiple myeloma diagnosis menstrual cycle irregular pregnancy test must occur weekly first twentyeight days every fourteen days study study discontinuation days fourteen twentyeight follow study drug discontinuation
3122,1,ifosfamid ifosfamide,pancr cant diagnos act clin sign infect requir antibiot pancreatic cancer diagnosis active clinically significant infection require antibiotics
3123,0,lenograstim lenograstim,recur adult burkit lymphom diagnos neg hum immunodeficy vir hiv recurrent adult burkitt lymphoma diagnosis negative human immunodeficiency virus hiv
3124,1,pembrolizumab pembrolizumab,non smal cel lung cant diagnos act autoimmun diseas requir system tre past two year non small cell lung cancer diagnosis active autoimmune disease require systemic treatment past two years
3125,1,hand funct bal test hand function balance test,breast cant diagnos although acupunct minim invas proc paty exclud ind infect breast cancer diagnosis although acupuncture minimally invasive procedure patients exclude indication infection
3126,0,paclitaxel paclitaxel,malign ov mix epithel tum diagnos paty known chronic act hepatit malignant ovarian mix epithelial tumor diagnosis patients know chronic active hepatitis
3127,1,gemcitabin gemcitabine,lung cant non smal cel diagnos clin sign gastrointestin abnorm might interf or dos lung cancer non small cell diagnosis clinically significant gastrointestinal abnormalities might interfere oral dose
3128,1,calcitriol calcitriol,non smal cel lung cant diagnos unresolv tox nci ctcae vert doc greater_than two pleas see appendix link non small cell lung cancer diagnosis unresolved toxicity nci ctcae version doc greater_than two please see appendix link
3129,1,biospecim collect biospecimen collection,urethr cant diagnos affect dement alt ment stat psychy co morbid condit would prohibit understand rend inform cons determin tre phys urethral cancer diagnosis affect dementia alter mental status psychiatric co morbid condition would prohibit understand render inform consent determine treat physician
3130,0,endothel grow fact endothelial growth factor,stag iv ov cant diagnos paty must ent on one2 week init surgery perform combin purpos diagnos stag cytoreduc stage iv ovarian cancer diagnosis patients must enter one one2 weeks initial surgery perform combine purpose diagnosis stag cytoreduction
3131,0,albuminbound paclitaxel albuminbound paclitaxel,stag iv breast cant diagnos biopsy may don loc anesthes intrav conscious_sedation accord standard institut guidelin stage iv breast cancer diagnosis biopsies may do local anesthesia intravenous conscious_sedation accord standard institutional guidelines
3132,0,paclitaxel paclitaxel,lung cant diagnos ecog zero on lung cancer diagnosis ecog zero one
3133,1,bupivacain bupivacaine,colon cant diagnos prevy maj abdomin surgery colonic cancer diagnosis previous major abdominal surgery
3134,1,rifampin rifampin,hist clin suspicy cant rel cent nerv system cns diseas history clinically suspicious cancer relate central nervous system cns disease
3135,0,saracatinib saracatinib,adenocarcinom pancrea diagnos sev day sint pri concur cytochrom pfo hundr fifty threeafour cypthreeafo act ag adenocarcinoma pancreas diagnosis seven days since prior concurrent cytochrome pfour hundred fifty threeafour cypthreeafour active agents
3136,1,autolog hum tumord hsppc96 autologous human tumorderived hsppc96,ren cel carcinom diagnos adequ cardiac funct renal cell carcinoma diagnosis adequate cardiac function
3137,0,isophosphamid mustard isophosphamide mustard,alveol soft part sarcom diagnos sufficy tissu blood must avail submit requir biolog study alveolar soft part sarcoma diagnosis sufficient tissue blood must available submit require biology study
3138,0,morphin morphine,brain cent nerv system tum diagnos concur methadon maint therapy opioid addict brain central nervous system tumors diagnosis concurrent methadone maintenance therapy opioid addiction
3139,0,fludarabin fludarabine,stag adult diffus larg cel lymphom diagnos chronic lymphocys leukem cll stage adult diffuse large cell lymphoma diagnosis chronic lymphocytic leukemia cll
3140,1,mycophenol mofetil mycophenolate mofetil,stag iv adult immunoblast larg cel lymphom diagnos don stage iv adult immunoblastic large cell lymphoma diagnosis donor
3141,0,trastuzumab trastuzumab,breast cant diagnos unst angin pect breast cancer diagnosis unstable angina pectoris
3142,0,carboplatin carboplatin,pancr cant diagnos part b pancreatic cancer diagnosis part b
3143,0,cortisol succin cortisol succinate,cent nerv system tum pedy diagnos radiotherapy central nervous system tumor pediatric diagnosis radiotherapy
3144,1,pembrolizumab pembrolizumab,stag iv esoph squam cel carcinom diagnos subject equal_than less_than grad two neuropathy exceiv crit may qual study stage iv esophageal squamous cell carcinoma diagnosis subject equal_than less_than grade two neuropathy exception criterion may qualify study
3145,0,endothel grow fact endothelial growth factor,origin histolog grad three gliom subsequ histolog diagnos on diseas allow provid pri diagnos grad two gliom original histology grade three glioma subsequent histological diagnosis one diseases allow provide prior diagnosis grade two glioma
3146,1,cyclophosphamid cyclophosphamide,recur adult soft tissu sarcom diagnos paty embryon histolog stag clin group on init diseas pres pres loc reg recur inelig recurrent adult soft tissue sarcoma diagnosis patients embryonal histology stage clinical group one initial disease presentation present local regional recurrence ineligible
3147,0,pharmacolog study pharmacological study,child choroid_plexus tum diagnos karnofsky perform scor ps sixty on hundr greater_than ten year ag lansky ps sixty on hundr less_than ten year ag childhood choroid_plexus tumor diagnosis karnofsky performance score ps sixty one hundred greater_than ten years age lansky ps sixty one hundred less_than ten years age
3148,0,vaccin vaccines,head neck cant diagnos lab valu obtain less_than thirtyday pri reg head neck cancer diagnosis laboratory value obtain less_than thirtydays prior registration
3149,0,antibody monoclon antibodies monoclonal,stag iv maj sal gland carcinom diagnos paty must recov grad on bet acut effect pri surgery chemotherapy rady therapy greater_than four week post surgery chronic lat xerostomia_speech swallow abnorm result pri rady surgery permit nutrit stat stabl stage iv major salivary gland carcinoma diagnosis patients must recover grade one better acute effect prior surgery chemotherapy radiation therapy greater_than four weeks post surgery chronic late xerostomia_speech swallow abnormalities result prior radiation surgery permit nutritional status stable
3150,0,fluorodeoxyglucos f18 fluorodeoxyglucose f18,lung cant diagnos paty charact lung cancer diagnosis patient characteristics
3151,0,albuminbound paclitaxel albuminbound paclitaxel,metastas neoplasm diagnos two week sint pri rady therapy metastases neoplasm diagnosis two weeks since prior radiation therapy
3152,1,vidarabin vidarabine,extranod margin zon cel lymphom mucos assocy lymphoid tissu diagnos paty known hypersensit fludarabin hist purin analog assocy autoimmun hemolys anem idiopath thrombocytopenic_purpura extranodal marginal zone cell lymphoma mucosa associate lymphoid tissue diagnosis patients know hypersensitivity fludarabine history purine analog associate autoimmune hemolytic anemia idiopathic thrombocytopenic_purpura
3153,1,mycophenol mofetil mycophenolate mofetil,child immunoblast larg cel lymphom diagnos cur sery system il childhood immunoblastic large cell lymphoma diagnosis current serious systemic illness
3154,0,fludarabin fludarabine,b cel lymphom diagnos fevon fvc least forty predict b cell lymphoma diagnosis fevone fvc least forty predict
3155,0,antibody monoclon antibodies monoclonal,adenocarcinom colon diagnos proteinur second nephropathy adenocarcinoma colon diagnosis proteinuria secondary nephropathy
3156,1,dexamethason acet dexamethasone acetate,multipl myelom diagnos particip investig therapeut study within on mon pri day on multiple myeloma diagnosis participation investigational therapeutic study within one month prior day one
3157,1,albuminbound paclitaxel albuminbound paclitaxel,paty complet lumpectom seg mastectom mod rad mastectom theref long meas cant left breast elig patients complete lumpectomy segmental mastectomy modify radical mastectomy therefore longer measurable cancer leave breast eligible
3158,1,immunoglobulin g immunoglobulin g,stag iib fallop tub cant diagnos paty ctcae grad two gre periph vascul diseas least brief less_than two4 hour episod ischem man non surg without perm deficit stage iib fallopian tube cancer diagnosis patients ctcae grade two greater peripheral vascular disease least brief less_than two4 hours episodes ischemia manage non surgically without permanent deficit
3159,1,pertuzumab pertuzumab,hertwo posit breast cant diagnos pregn lact wom hertwo positive breast cancer diagnosis pregnant lactate women
3160,1,everolim everolimus,breast cant diagnos dillapiol breast cancer diagnosis dillapiol
3161,1,doxorubicin doxorubicin,malign neoplasm breast diagnos pri tre caelyx lapatinib malignant neoplasm breast diagnosis prior treatment caelyx lapatinib
3162,0,antibody antibodies,brain neoplasm diagnos karnofsky perform stat least seventy eastern coop oncolog group ecog zubrod level on brain neoplasm diagnosis karnofsky performance status least seventy eastern cooperative oncology group ecog zubrod level one
3163,1,camptothecin camptothecin,cholangiocarcinom gallblad diagnos pregn breastfee cholangiocarcinoma gallbladder diagnosis pregnancy breastfeed
3164,0,doxorubicin doxorubicin,recur prost cant diagnos maj surgery within last two week recurrent prostate cancer diagnosis major surgery within last two weeks
3165,0,bevacizumab bevacizumab,recur squam cel carcinom oropharynx diagnos recur diseas recurrent squamous cell carcinoma oropharynx diagnosis recurrent disease
3166,1,methylprednisolon acet methylprednisolone acetate,nod margin zon cel lymphom diagnos paty un provid inform cons comply requir protocol nodal marginal zone cell lymphoma diagnosis patient unable provide inform consent comply requirements protocol
3167,0,fludarabin phosph fludarabine phosphate,recur child smal noncleav cel lymphom diagnos lymphoprol diseas recurrent childhood small noncleaved cell lymphoma diagnosis lymphoproliferative disease
3168,0,fluorouracil fluorouracil,stag iv rect cant diagnos baselin ekg qtc prolong grad two high ctcae vert doc stage iv rectal cancer diagnosis baseline ekg qtc prolongation grade two higher ctcae version doc
3169,0,estradiol estradiol,stag ii breast cant diagnos pri allog bon marrow org transpl stage iiia breast cancer diagnosis prior allogeneic bone marrow organ transplantation
3170,1,anticoag anticoagulants,lymphom diagnos pri hist docu dvt pe past three month lymphoma diagnosis prior history document dvt pe past three months
3171,1,oxaliplatin oxaliplatin,gast cant diagnos hypersensit fiv fu leucovorin oxaliplatin docetaxel gastric cancer diagnosis hypersensitivity five fu leucovorin oxaliplatin docetaxel
3172,1,vidarabin vidarabine,child diffus larg cel lymphom diagnos ser glutam oxaloacet transaminas sgot ser glutam pyruv transaminas sgpt greater_than equal_than three up limit norm childhood diffuse large cell lymphoma diagnosis serum glutamic oxaloacetic transaminase sgot serum glutamic pyruvate transaminase sgpt greater_than equal_than three upper limit normal
3173,1,mycophenol mofetil mycophenolate mofetil,recur grad on follicul lymphom diagnos cur sery system il recurrent grade one follicular lymphoma diagnosis current serious systemic illness
3174,1,trametinib trametinib,colorect cant diagnos retin deg diseas heredit retin deg ag rel macular_degeneration hist uveit retin vein occlud cent ser retinopathy retin detach colorectal cancer diagnosis retinal degenerative disease hereditary retinal degeneration age relate macular_degeneration history uveitis retinal vein occlusion central serous retinopathy retinal detachment
3175,0,antibody monoclon antibodies monoclonal,recur metast squam neck cant occult prim diagnos fem subject reproduc pot recurrent metastatic squamous neck cancer occult primary diagnosis female subject reproductive potential
3176,1,antibody monoclon antibodies monoclonal,stag iv prim periton cant diagnos evid blee diathes coagulopathy stage iv primary peritoneal cancer diagnosis evidence bleed diathesis coagulopathy
3177,1,carboplatin carboplatin,ov cant diagnos inadequ control hypertend ovarian cancer diagnosis inadequately control hypertension
3178,0,immunoglobulin immunoglobulins,recur colon cant diagnos pri radiotherapy allow provid least twentyeight day elaps sint last tre advers ev rel rady therapy must resolv recurrent colon cancer diagnosis prior radiotherapy allow provide least twentyeight days elapse since last treatment adverse events relate radiation therapy must resolve
3179,1,paclitaxel paclitaxel,fallop tub carcinom diagnos act pept ulc diseas inflam bowel diseas ulc colit gastrointestin condit increas risk perf hist abdomin fistul gastrointestin perf intr abdomin abscess within four week pri admin first dos study drug fallopian tube carcinoma diagnosis active peptic ulcer disease inflammatory bowel disease ulcerative colitis gastrointestinal condition increase risk perforation history abdominal fistula gastrointestinal perforation intra abdominal abscess within four weeks prior administration first dose study drug
3180,0,il13r2specific hingeoptim 41bbcostimulatory cartrunt cd19expressing lymphocyt il13r2specific hingeoptimized 41bbcostimulatory cartruncated cd19expressing lymphocytes,recur brain neoplasm diagnos platelet count must greater_than equal_than on hundr zero howev platelet level seventyf zero ninetynin zero cel infus may process platelet transfus giv post transfus platelet count greater_than equal_than on hundr zero recurrent brain neoplasm diagnosis platelet count must greater_than equal_than one hundred zero however platelet level seventyfive zero ninetynine zero cell infusion may proceed platelet transfusion give post transfusion platelet count greater_than equal_than one hundred zero
3181,1,antibody monoclon antibodies monoclonal,non smal cel lung cant diagnos posit hum immunodeficy vir hiv hepatit c non small cell lung cancer diagnosis positive human immunodeficiency virus hiv hepatitis c
3182,1,methotrex methotrexate,high grad osteosarcom diagnos vary twenty recommend dos without just high grade osteosarcoma diagnosis variation twenty recommend dose without justification
3183,1,indocyanin green indocyanine green,stag ii ren cel cant diagnos subject prevy hist advers react allergy icg iodin shellf iodin dye stage ii renal cell cancer diagnosis subject previous history adverse reaction allergy icg iodine shellfish iodine dye
3184,1,lab biomark analys laboratory biomarker analysis,stag iv prost cant diagnos subject un unwil abid study protocol coop ful investig design stage iv prostate cancer diagnosis subject unable unwilling abide study protocol cooperate fully investigator designee
3185,1,immunoglobulin immunoglobulins,stag ii ov cant diagnos paty clin sign proteinur urin protein screened urin protein creatinin ratio upcr paty must upcr less_than doc allow particip study stage iiia ovarian cancer diagnosis patients clinically significant proteinuria urine protein screen urine protein creatinine ratio upcr patients must upcr less_than doc allow participation study
3186,0,azacitidin azacitidine,prost cant diagnos paty karnofsky perform stat kps least seventy eastern coop oncolog group ecog perform stat scor zero two prostate cancer diagnosis patient karnofsky performance status kps least seventy eastern cooperative oncology group ecog performance status score zero two
3187,1,sirolim sirolimus,stag ii ov epithel cant diagnos known pulmon hypertend stage iiia ovarian epithelial cancer diagnosis know pulmonary hypertension
3188,1,modafinil modafinil,malign melanom diagnos hist pneumonit interstit lung diseas malignant melanoma diagnosis history pneumonitis interstitial lung disease
3189,1,vinorelbin vinorelbine,cant lung diagnos whit blood cel wbc less_than three zero mm3 cancer lung diagnosis white blood cells wbc less_than three zero mm3
3190,1,lenograstim lenograstim,paty inelig adv myelom refract unrespond salv chemotherapy regim patients ineligible advance myeloma refractory unresponsive salvage chemotherapy regimens
3191,1,testosteron testosterone,prost cant diagnos oss metast diseas immin risk discret tre phys patholog fract cord compress paty known spin metastas rais concern cord compress mri spin perform rul epid diseas prostate cancer diagnosis osseous metastatic disease imminent risk discretion treat physician pathologic fracture cord compression patients know spinal metastasis raise concern cord compression mri spine perform rule epidural disease
3192,1,bevacizumab bevacizumab,metast melanom diagnos clin sign stroke transy ischem attack tia equal_than less_than six month pri reg random seiz control standard med therapy metastatic melanoma diagnosis clinically significant stroke transient ischemic attack tia equal_than less_than six months prior registration randomization seizures control standard medical therapy
3193,1,nivolumab nivolumab,solid tum diagnos hist blee diathes within last six month solid tumors diagnosis history bleed diathesis within last six months
3194,0,dacarbazin dacarbazine,brain cent nerv system tum diagnos concur anticonvuls allow brain central nervous system tumors diagnosis concurrent anticonvulsants allow
3195,0,bevacizumab bevacizumab,breast cant diagnos paty ast alkalin phosphatas gre uln elig includ study liv im comput tomograph ct mri pet scan demonst metast diseas adequ hep funct breast cancer diagnosis patients ast alkaline phosphatase greater uln eligible inclusion study liver image compute tomography ct mri pet scan demonstrate metastatic disease adequate hepatic function
3196,1,palbociclib palbociclib,cant diagnos consult glaxosmithklin gsk med monit uns wheth second malign meet requir spec cancer diagnosis consult glaxosmithkline gsk medical monitor unsure whether second malignancies meet requirements specify
3197,1,albuminbound paclitaxel albuminbound paclitaxel,endomet cant diagnos sign cardiovascul diseas uncontrol hypertend unst angin hist infarct within past twelv month pri start study tre congest heart fail greater_than nyh ii sery cardiac arrhythm pericard effus see appendix twelv endometrial cancer diagnosis significant cardiovascular diseases uncontrolled hypertension unstable angina history infarction within past twelve months prior start study treatment congestive heart failure greater_than nyha ii serious cardiac arrhythmia pericardial effusion see appendix twelve
3198,0,abt751 abt751,neuroblastom diagnos spec neuroblastoma diagnosis specify
3199,1,rad two hundred and twentythree radium two hundred and twentythree,prost cant diagnos receiv investig therapeut drug within last four week pri start study tre scheduled receiv on tre period prostate cancer diagnosis receive investigational therapeutic drug within last four weeks prior start study treatment schedule receive one treatment period
3200,0,pemetrex pemetrexed,unspec adult solid tum protocol spec diagnos paty must eighteen year ag old unspecified adult solid tumor protocol specific diagnosis patients must eighteen years age older
3201,0,pn pn,colorect cant diagnos subst depend alcohol drug within past twelv month colorectal cancer diagnosis substance dependence alcohol drug within past twelve months
3202,0,dinaciclib dinaciclib,stag iv skin melanom diagnos least twentyeight day sint pri system chemotherapy stage iv skin melanoma diagnosis least twentyeight days since prior systemic chemotherapy
3203,1,dexamethason 21phosphate dexamethasone 21phosphate,pri cur system therapy multipl myelom includ steroid exceiv emerg us four day block dexamethason random maxim tot dos allow on hundr sixty mg prior current systemic therapy multiple myeloma include steroids except emergency use four day block dexamethasone randomization maximum total dose allow one hundred sixty mg
3204,0,cyclophosphamid cyclophosphamide,diffus larg cel lymphom diagnos ag adjust intern prognost index ip scor zero on diffuse large cell lymphoma diagnosis age adjust international prognostic index ipi score zero one
3205,1,vidarabin vidarabine,stag iv child lymphoblast lymphom diagnos fem pregn stage iv childhood lymphoblastic lymphoma diagnosis females pregnant
3206,0,oxaliplatin oxaliplatin,unspec child solid tum protocol spec diagnos see biolog therapy unspecified childhood solid tumor protocol specific diagnosis see biologic therapy
3207,1,etoposid etoposide,malign exceiv adequ tre bas cel squam cel skin cant carcinom situ cervix adequ tre stag ii cant complet remit cant paty diseas fre fiv year malignancy except adequately treat basal cell squamous cell skin cancer carcinoma situ cervix adequately treat stage ii cancer complete remission cancer patient disease free five years
3208,1,sirolim sirolimus,stag ii adult soft tissu sarcom diagnos paty hyperglycem defin fast ser glucos on hundr twenty mg dl paty already or ant diabet insulin therapy stage iii adult soft tissue sarcoma diagnosis patients hyperglycemia define fast serum glucose one hundred twenty mg dl patients already oral anti diabetic insulin therapy
3209,1,qual lif assess quality life assessment,recur smal lymphocys lymphom diagnos paty lif threatening il med condit org system dysfunct investig opin could comprom subject saf interf absorb metabol pci thirtytwo thousand sev hundr sixtyf po put study outcom undu risk recurrent small lymphocytic lymphoma diagnosis patients life threaten illness medical condition organ system dysfunction investigator opinion could compromise subject safety interfere absorption metabolism pci thirtytwo thousand seven hundred sixtyfive po put study outcomes undue risk
3210,1,desipramin desipramine,cant diagnos known allergy gemcitabin pemetrex desipramin lytwo mil six hundr three thousand six hundr eighteen ingredy gemcitabin pemetrex desipramin lytwo mil six hundr three thousand six hundr eighteen lik captisol cancer diagnosis know allergy gemcitabine pemetrexed desipramine lytwo million six hundred three thousand six hundred eighteen ingredient gemcitabine pemetrexed desipramine lytwo million six hundred three thousand six hundred eighteen like captisol
3211,1,sirolim sirolimus,lymphom diagnos not lymphoma diagnosis note
3212,1,romidepsin romidepsin,relaps refract cel lymphoma diagnos subject posit hep serolog relapse refractory cell lymphomas diagnosis subject positive hep serology
3213,0,vidarabin vidarabine,hepatospl cel lymphom diagnos don hepatosplenic cell lymphoma diagnosis donor
3214,1,cediranib cediranib,recur fallop tub carcinom diagnos particip receiv med subst strong inhibit induc cytochrom pfo hundr fifty famy three subfamy polypeptid four cypthreeafo mod inhibit cypthreeafo inelig dihydropyridin calc channel block permit man hypertend recurrent fallopian tube carcinoma diagnosis participants receive medications substances strong inhibitors inducers cytochrome pfour hundred fifty family three subfamily polypeptide four cypthreeafour moderate inhibitors cypthreeafour ineligible dihydropyridine calcium channel blockers permit management hypertension
3215,0,metformin metformin,larg cel lung carcinom diagnos wom childbear pot ser pregn test within seventytwo hour pri reg large cell lung carcinoma diagnosis women childbearing potential serum pregnancy test within seventytwo hours prior registration
3216,0,histon deacetylas inhibit histone deacetylase inhibitors,angioimmunoblast cel lymphom diagnos pri or isotretinoin angioimmunoblastic cell lymphoma diagnosis prior oral isotretinoin
3217,1,lenograstim lenograstim,lymphom diagnos aspart aminotransferas ast alanin aminotransferas alt gre eq doc up limit norm tot bilirubin gre eq doc up limit norm lymphoma diagnosis aspartate aminotransferase ast alanine aminotransferase alt greater equal doc upper limit normal total bilirubin greater equal doc upper limit normal
3218,1,cyclophosphamid cyclophosphamide,cervix cant diagnos lvef mug ultrasound must greater_than fifty perform within twentyeight day pri enrol cervix cancer diagnosis lvef muga ultrasound must greater_than fifty perform within twentyeight days prior enrolment
3219,1,fluorouracil fluorouracil,eld metast colorect cant paty diagnos prevy tre egfr inhibit elderly metastatic colorectal cancer patients diagnosis previous treatment egfr inhibitors
3220,1,cyclosporin cyclosporine,recur smal lymphocys lymphom diagnos infect hiv recurrent small lymphocytic lymphoma diagnosis infection hiv
3221,1,sirolim sirolimus,resect hepatocellul carcinom diagnos sery il sery infect requir antibiot blee disord resectable hepatocellular carcinoma diagnosis serious illnesses serious infections require antibiotics bleed disorder
3222,0,sirolim sirolimus,refract solid tum childr diagnos tot bilirubin equal_than less_than doc uln refractory solid tumors children diagnosis total bilirubine equal_than less_than doc uln
